ReportingYear,AQValue,Unit,StationLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Pollutant,AggregationType
2013,21.48912342,ug.m-3,STA-NL00131,51.541110989477339,5.8536138500000012,Ammonia (air),Annual mean / 1 calendar year
2014,19.07416361,ug.m-3,STA-NL00244,51.535899999477301,5.8085929999999983,Ammonia (air),Annual mean / 1 calendar year
2015,16.56545562,ug.m-3,STA-NL00131,51.541110989477339,5.8536138500000012,Ammonia (air),Annual mean / 1 calendar year
2013,16.49308412,ug.m-3,STA-NL00738,52.112499239479874,5.7086191199999998,Ammonia (air),Annual mean / 1 calendar year
2014,15.89343781,ug.m-3,STA-NL00738,52.112499239479874,5.7086191199999998,Ammonia (air),Annual mean / 1 calendar year
2014,15.84053657,ug.m-3,STA-NL00131,51.541110989477339,5.8536138500000012,Ammonia (air),Annual mean / 1 calendar year
2013,15.35768699,ug.m-3,STA-NL00244,51.535899999477301,5.8085929999999983,Ammonia (air),Annual mean / 1 calendar year
2015,12.70201108,ug.m-3,STA-NL00738,52.112499239479874,5.7086191199999998,Ammonia (air),Annual mean / 1 calendar year
2015,11.68783523,ug.m-3,STA-NL00244,51.535899999477301,5.8085929999999983,Ammonia (air),Annual mean / 1 calendar year
2013,8.51349614,ug.m-3,STA-NL00633,52.138888999480002,4.8383359999999991,Ammonia (air),Annual mean / 1 calendar year
2014,8.45634335,ug.m-3,STA-NL00633,52.138888999480002,4.8383359999999991,Ammonia (air),Annual mean / 1 calendar year
2015,7.60173883,ug.m-3,STA-NL00633,52.138888999480002,4.8383359999999991,Ammonia (air),Annual mean / 1 calendar year
2013,6.65771599,ug.m-3,STA-NL00722,52.092499999479791,6.6058390000000005,Ammonia (air),Annual mean / 1 calendar year
2014,5.96533342,ug.m-3,STA-NL00929,52.876663209483603,6.9333334000000022,Ammonia (air),Annual mean / 1 calendar year
2014,5.85839096,ug.m-3,STA-NL00538,52.804721829483249,5.0508418099999997,Ammonia (air),Annual mean / 1 calendar year
2013,5.85035608,ug.m-3,STA-NL00538,52.804721829483249,5.0508418099999997,Ammonia (air),Annual mean / 1 calendar year
2013,4.83922828,ug.m-3,STA-NL00929,52.876663209483603,6.9333334000000022,Ammonia (air),Annual mean / 1 calendar year
2015,4.6287392,ug.m-3,STA-NL00538,52.804721829483249,5.0508418099999997,Ammonia (air),Annual mean / 1 calendar year
