ReportingYear,AQValue,Unit,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Pollutant,AggregationType,Namespace,BeginPosition,EndPosition,DataCoverage,DataCapture
2013,21.48912342,ug.m-3,STA-NL00131,SPO-NL00131_00035_100,51.541110989477339,5.8536138500000012,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,93.50456621,93.50456621
2014,19.07416361,ug.m-3,STA-NL00244,SPO-NL00244_00035_100,51.535899999477301,5.8085929999999983,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,93.49315068,93.49315068
2015,16.56545562,ug.m-3,STA-NL00131,SPO-NL00131_00035_100,51.541110989477339,5.8536138500000012,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,76.66666667,76.66666667
2013,16.49308412,ug.m-3,STA-NL00738,SPO-NL00738_00035_100,52.112499239479874,5.7086191199999998,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,87.79680365,87.79680365
2014,15.89343781,ug.m-3,STA-NL00738,SPO-NL00738_00035_100,52.112499239479874,5.7086191199999998,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,91.05022831,91.05022831
2014,15.84053657,ug.m-3,STA-NL00131,SPO-NL00131_00035_100,51.541110989477339,5.8536138500000012,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,91.90639269,91.90639269
2013,15.35768699,ug.m-3,STA-NL00244,SPO-NL00244_00035_100,51.535899999477301,5.8085929999999983,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,87.60273973,87.60273973
2015,12.70201108,ug.m-3,STA-NL00738,SPO-NL00738_00035_100,52.112499239479874,5.7086191199999998,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,88.55022831,88.55022831
2015,11.68783523,ug.m-3,STA-NL00244,SPO-NL00244_00035_100,51.535899999477301,5.8085929999999983,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,90.06849315,90.06849315
2013,8.51349614,ug.m-3,STA-NL00633,SPO-NL00633_00035_100,52.138888999480002,4.8383359999999991,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,90.21689498,90.21689498
2014,8.45634335,ug.m-3,STA-NL00633,SPO-NL00633_00035_100,52.138888999480002,4.8383359999999991,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,91.09589041,91.09589041
2015,7.60173883,ug.m-3,STA-NL00633,SPO-NL00633_00035_100,52.138888999480002,4.8383359999999991,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,85.4109589,85.4109589
2013,6.65771599,ug.m-3,STA-NL00722,SPO-NL00722_00035_100,52.092499999479791,6.6058390000000005,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,91.56392694,91.56392694
2014,5.96533342,ug.m-3,STA-NL00929,SPO-NL00929_00035_100,52.876663209483603,6.9333334000000022,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,86.96347032,86.96347032
2014,5.85839096,ug.m-3,STA-NL00538,SPO-NL00538_00035_100,52.804721829483249,5.0508418099999997,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,87.47716895,87.47716895
